customer_id,signup_date,city,age_group,income_segment,acquisition_channel
C001,2025-04-30,Jaipur,35-44,Medium,Paid Ads
C002,2025-08-03,Hyderabad,25-34,Medium,Organic
C003,2025-03-23,Kolkata,25-34,Low,Partner
C004,2025-02-22,Mumbai,25-34,Medium,Partner
C005,2025-05-16,Delhi,35-44,Medium,Social Media
C006,2025-02-10,Jaipur,25-34,Medium,Partner
C007,2025-10-23,Hyderabad,35-44,Low,Referral
C008,2025-05-29,Mumbai,35-44,High,Social Media
C009,2025-05-23,Ahmedabad,35-44,Medium,Partner
C010,2025-07-01,Hyderabad,35-44,Medium,Organic
C011,2025-03-29,Jaipur,35-44,Low,Social Media
C012,2025-05-19,Jaipur,25-34,Medium,Organic
C013,2025-04-28,Delhi,35-44,Medium,Organic
C014,2025-04-19,Gurgaon,35-44,Medium,Social Media
C015,2025-07-22,Ahmedabad,18-24,Low,Paid Ads
C016,2025-10-03,Pune,35-44,Medium,Paid Ads
C017,2025-07-24,Chennai,25-34,High,Paid Ads
C018,2025-09-10,Mumbai,35-44,High,Referral
C019,2025-03-23,Kolkata,25-34,Medium,Paid Ads
C020,2025-08-28,Jaipur,25-34,Medium,Organic
C021,2025-02-28,Jaipur,35-44,Medium,Partner
C022,2025-02-27,Pune,25-34,Medium,Partner
C023,2025-09-14,Bangalore,25-34,Low,Partner
C024,2025-09-17,Gurgaon,18-24,Medium,Referral
C025,2025-10-04,Jaipur,45-54,Medium,Social Media
C026,2025-01-10,Mumbai,45-54,High,Partner
C027,2025-05-03,Delhi,25-34,Medium,Organic
C028,2025-02-13,Ahmedabad,35-44,High,Paid Ads
C029,2025-03-06,Bangalore,35-44,High,Referral
C030,2025-05-16,Jaipur,35-44,Medium,Referral
C031,2025-10-04,Hyderabad,35-44,Medium,Partner
C032,2025-08-13,Jaipur,25-34,Low,Organic
C033,2025-06-23,Delhi,25-34,Low,Referral
C034,2025-01-04,Mumbai,35-44,Low,Organic
C035,2025-01-17,Chennai,18-24,Low,Social Media
C036,2025-04-20,Jaipur,18-24,High,Paid Ads
C037,2025-10-23,Ahmedabad,25-34,Medium,Social Media
C038,2025-04-08,Mumbai,18-24,Medium,Social Media
C039,2025-07-30,Ahmedabad,35-44,Low,Organic
C040,2025-02-01,Kolkata,35-44,High,Organic
C041,2025-05-08,Hyderabad,18-24,Medium,Social Media
C042,2025-04-04,Pune,25-34,High,Organic
C043,2025-08-15,Jaipur,18-24,Medium,Paid Ads
C044,2025-01-08,Mumbai,45-54,High,Referral
C045,2025-07-28,Ahmedabad,25-34,High,Organic
C046,2025-03-26,Kolkata,18-24,Medium,Social Media
C047,2025-05-27,Kolkata,35-44,Medium,Paid Ads
C048,2025-09-07,Bangalore,18-24,Low,Organic
C049,2025-10-24,Jaipur,18-24,Medium,Organic
C050,2025-10-27,Ahmedabad,25-34,High,Referral
C051,2025-01-30,Jaipur,18-24,Low,Paid Ads
C052,2025-02-04,Hyderabad,25-34,High,Paid Ads
C053,2025-05-07,Gurgaon,25-34,Medium,Social Media
C054,2025-10-26,Gurgaon,25-34,High,Referral
C055,2025-06-10,Hyderabad,25-34,Low,Partner
C056,2025-08-23,Chennai,45-54,High,Organic
C057,2025-08-23,Gurgaon,45-54,High,Organic
C058,2025-10-03,Hyderabad,25-34,Low,Partner
C059,2025-02-05,Hyderabad,25-34,Low,Paid Ads
C060,2025-06-04,Gurgaon,45-54,High,Paid Ads
C061,2025-01-05,Jaipur,25-34,Medium,Referral
C062,2025-05-16,Mumbai,35-44,Medium,Referral
C063,2025-05-20,Pune,35-44,Medium,Referral
C064,2025-05-16,Jaipur,25-34,High,Organic
C065,2025-02-17,Kolkata,35-44,Low,Partner
C066,2025-03-08,Pune,18-24,Medium,Social Media
C067,2025-10-15,Delhi,18-24,High,Referral
C068,2025-10-07,Delhi,35-44,Medium,Referral
C069,2025-08-09,Bangalore,18-24,Medium,Organic
C070,2025-07-03,Hyderabad,35-44,Medium,Partner
C071,2025-10-14,Kolkata,45-54,Medium,Referral
C072,2025-03-25,Bangalore,35-44,Low,Partner
C073,2025-07-30,Hyderabad,25-34,Medium,Organic
C074,2025-07-15,Delhi,35-44,Low,Social Media
C075,2025-06-29,Pune,35-44,High,Referral
C076,2025-01-13,Hyderabad,25-34,Medium,Organic
C077,2025-05-23,Chennai,35-44,Medium,Paid Ads
C078,2025-06-19,Delhi,18-24,High,Referral
C079,2025-10-25,Pune,18-24,Medium,Partner
C080,2025-06-10,Kolkata,35-44,Medium,Social Media
C081,2025-10-23,Hyderabad,25-34,Medium,Organic
C082,2025-09-24,Jaipur,35-44,High,Referral
C083,2025-07-06,Kolkata,18-24,Medium,Partner
C084,2025-06-10,Mumbai,35-44,Medium,Partner
C085,2025-07-29,Chennai,25-34,Medium,Referral
C086,2025-04-09,Kolkata,35-44,Medium,Referral
C087,2025-10-19,Pune,25-34,High,Partner
C088,2025-05-27,Hyderabad,25-34,Medium,Partner
C089,2025-08-27,Ahmedabad,25-34,Low,Social Media
C090,2025-03-28,Mumbai,25-34,Medium,Paid Ads
C091,2025-06-21,Mumbai,35-44,Medium,Partner
C092,2025-04-26,Hyderabad,18-24,Low,Social Media
C093,2025-02-07,Ahmedabad,25-34,Medium,Referral
C094,2025-07-16,Ahmedabad,25-34,Low,Organic
C095,2025-02-24,Kolkata,25-34,High,Paid Ads
C096,2025-08-26,Delhi,25-34,High,Organic
C097,2025-08-22,Bangalore,35-44,Medium,Paid Ads
C098,2025-06-12,Ahmedabad,35-44,Medium,Paid Ads
C099,2025-08-07,Jaipur,25-34,Low,Social Media
C100,2025-08-19,Pune,35-44,High,Partner
C101,2025-09-24,Ahmedabad,35-44,Medium,Organic
C102,2025-05-27,Hyderabad,25-34,Medium,Paid Ads
C103,2025-02-11,Bangalore,18-24,Medium,Referral
C104,2025-04-20,Mumbai,25-34,Medium,Social Media
C105,2025-08-01,Delhi,25-34,Medium,Paid Ads
C106,2025-01-11,Gurgaon,25-34,Low,Partner
C107,2025-06-02,Kolkata,35-44,High,Social Media
C108,2025-10-03,Jaipur,35-44,High,Social Media
C109,2025-04-23,Pune,25-34,Low,Partner
C110,2025-07-27,Bangalore,35-44,High,Paid Ads
C111,2025-10-01,Delhi,45-54,Medium,Organic
C112,2025-02-12,Kolkata,18-24,Medium,Organic
C113,2025-05-14,Kolkata,25-34,Medium,Partner
C114,2025-07-14,Pune,35-44,High,Partner
C115,2025-02-11,Ahmedabad,18-24,Medium,Partner
C116,2025-04-25,Mumbai,35-44,Medium,Organic
C117,2025-05-07,Hyderabad,35-44,Medium,Referral
C118,2025-03-06,Ahmedabad,35-44,Medium,Referral
C119,2025-08-27,Pune,35-44,Low,Paid Ads
C120,2025-02-28,Bangalore,45-54,Low,Organic
C121,2025-06-09,Gurgaon,35-44,High,Social Media
C122,2025-04-12,Mumbai,25-34,High,Referral
C123,2025-02-22,Pune,35-44,Medium,Organic
C124,2025-10-17,Delhi,25-34,Medium,Partner
C125,2025-02-05,Jaipur,35-44,Low,Social Media
C126,2025-09-08,Mumbai,25-34,Medium,Social Media
C127,2025-03-20,Kolkata,18-24,Medium,Partner
C128,2025-10-03,Ahmedabad,25-34,High,Paid Ads
C129,2025-05-18,Chennai,35-44,High,Organic
C130,2025-05-23,Ahmedabad,25-34,Medium,Paid Ads
C131,2025-07-14,Chennai,18-24,High,Referral
C132,2025-09-07,Hyderabad,25-34,Medium,Partner
C133,2025-05-22,Jaipur,18-24,High,Organic
C134,2025-05-04,Kolkata,25-34,Medium,Social Media
C135,2025-09-09,Ahmedabad,35-44,Low,Referral
C136,2025-07-27,Hyderabad,25-34,Medium,Social Media
C137,2025-10-11,Jaipur,25-34,High,Paid Ads
C138,2025-06-19,Chennai,35-44,Medium,Partner
C139,2025-04-29,Mumbai,35-44,Medium,Paid Ads
C140,2025-04-05,Hyderabad,25-34,Medium,Paid Ads
C141,2025-09-26,Gurgaon,25-34,Low,Referral
C142,2025-06-01,Hyderabad,25-34,Medium,Paid Ads
C143,2025-03-06,Pune,18-24,Low,Partner
C144,2025-03-06,Ahmedabad,18-24,Low,Partner
C145,2025-08-29,Ahmedabad,25-34,Low,Organic
C146,2025-05-10,Ahmedabad,18-24,Low,Social Media
C147,2025-02-07,Gurgaon,35-44,Low,Referral
C148,2025-10-16,Pune,18-24,Low,Paid Ads
