event_id,customer_id,product_id,stage,event_date
E00001,C351,PR05,Activated,2025-01-22
E00002,C067,PR03,KYC Completed,2025-06-06
E00003,C440,PR04,Application Started,2025-10-06
E00004,C022,PR02,Approved,2025-11-23
E00005,C170,PR02,Activated,2025-08-28
E00006,C256,PR05,Application Started,2025-08-24
E00007,C032,PR06,Viewed,2025-10-04
E00008,C346,PR05,First Transaction,2025-12-05
E00009,C034,PR01,First Transaction,2025-03-29
E00010,C041,PR01,Activated,2025-01-07
E00011,C371,PR05,First Transaction,2025-06-28
E00012,C498,PR04,First Transaction,2025-04-09
E00013,C129,PR05,First Transaction,2025-07-31
E00014,C094,PR02,Application Started,2025-12-21
E00015,C206,PR05,First Transaction,2025-01-29
E00016,C223,PR02,Viewed,2025-05-28
E00017,C303,PR01,First Transaction,2025-03-28
E00018,C133,PR02,Viewed,2025-10-04
E00019,C490,PR01,Application Started,2025-12-01
E00020,C142,PR01,Viewed,2025-05-10
E00021,C480,PR05,Application Started,2025-06-12
E00022,C382,PR07,Application Started,2025-06-03
E00023,C039,PR05,Approved,2025-11-25
E00024,C221,PR05,Application Started,2025-05-22
E00025,C260,PR06,KYC Completed,2025-09-03
E00026,C267,PR02,Viewed,2025-04-03
E00027,C401,PR05,First Transaction,2025-04-23
E00028,C185,PR06,Viewed,2025-03-05
E00029,C414,PR07,Viewed,2025-05-25
E00030,C091,PR01,Activated,2025-02-10
E00031,C380,PR01,Activated,2025-10-31
E00032,C176,PR06,Activated,2025-06-28
E00033,C351,PR01,Viewed,2025-04-02
E00034,C328,PR05,KYC Completed,2025-06-06
E00035,C329,PR04,Viewed,2025-04-11
E00036,C245,PR02,KYC Completed,2025-09-27
E00037,C079,PR02,First Transaction,2025-07-07
E00038,C372,PR07,Application Started,2025-06-02
E00039,C468,PR03,Viewed,2025-01-11
E00040,C497,PR02,First Transaction,2025-08-16
E00041,C404,PR05,Approved,2025-02-22
E00042,C030,PR01,Approved,2025-11-30
E00043,C096,PR05,Application Started,2025-01-28
E00044,C494,PR01,Viewed,2025-01-29
E00045,C158,PR06,First Transaction,2025-02-03
E00046,C418,PR02,Activated,2025-12-24
E00047,C153,PR01,Activated,2025-08-19
E00048,C324,PR05,Activated,2025-04-22
E00049,C087,PR06,Application Started,2025-11-01
E00050,C091,PR01,Application Started,2025-02-08
E00051,C221,PR05,Viewed,2025-10-03
E00052,C084,PR03,Viewed,2025-04-16
E00053,C091,PR04,KYC Completed,2025-11-17
E00054,C325,PR05,KYC Completed,2025-05-21
E00055,C074,PR06,Viewed,2025-04-02
E00056,C106,PR05,First Transaction,2025-04-30
E00057,C106,PR05,Approved,2025-08-19
E00058,C009,PR04,Application Started,2025-08-11
E00059,C170,PR05,First Transaction,2025-06-04
E00060,C188,PR02,Approved,2025-04-17
E00061,C487,PR05,Application Started,2025-06-26
E00062,C499,PR05,Approved,2025-06-30
E00063,C038,PR01,Application Started,2025-07-29
E00064,C425,PR02,KYC Completed,2025-07-31
E00065,C442,PR02,Viewed,2025-03-22
E00066,C404,PR07,KYC Completed,2025-01-06
E00067,C465,PR02,Approved,2025-12-13
