partner_id,partner_name,industry
P01,Flipkart,Retail
P02,Myntra,Ecommerce
P03,Amazon India,Ecommerce
P04,Swiggy,Retail
P05,Zomato,Food Delivery
P06,MakeMyTrip,Fashion
P07,OYO,Fashion
P08,BigBasket,Fashion
P09,Zepto,Retail
P10,Croma,Ecommerce
P11,Reliance Digital,Retail
P12,Nykaa,Retail
P13,Urban Company,Healthcare
P14,BookMyShow,Ecommerce
P15,Cult Fit,Healthcare
P16,PolicyBazaar,Travel
P17,PharmEasy,Ecommerce
P18,Apollo 24/7,Ecommerce
P19,Tata Neu,Ecommerce
P20,Pine Labs,Fashion
