transaction_id,customer_id,partner_id,product_id,transaction_date,amount,revenue,is_repeat,cross_sell,status
T00001,C096,P14,PR01,2025-08-18,6221,186.63,Yes,No,Success
T00002,C048,P20,PR01,2025-11-03,36821,1104.63,No,No,Success
T00003,C372,P18,PR03,2025-05-05,6050,302.5,Yes,Yes,Success
T00004,C138,P16,PR01,2025-03-16,20234,607.02,Yes,No,Success
T00005,C185,P09,PR04,2025-05-07,5541,221.64,No,No,Success
T00006,C156,P01,PR04,2025-07-22,9379,375.16,Yes,No,Success
T00007,C221,P20,PR02,2025-03-11,22437,560.93,Yes,No,Success
T00008,C494,P13,PR04,2025-06-13,12141,485.64,Yes,No,Success
T00009,C167,P13,PR05,2025-05-24,16387,327.74,No,No,Success
T00010,C280,P06,PR05,2025-12-16,39312,786.24,No,Yes,Success
T00011,C225,P10,PR07,2025-12-21,14239,213.58,Yes,No,Success
T00012,C325,P10,PR05,2025-05-04,9621,192.42,Yes,Yes,Success
T00013,C307,P16,PR03,2025-10-26,29930,1496.5,Yes,No,Failed
T00014,C019,P12,PR05,2025-12-26,36128,722.56,No,No,Success
T00015,C337,P12,PR01,2025-03-27,16768,503.04,No,Yes,Pending
T00016,C496,P11,PR05,2025-08-09,26689,533.78,Yes,Yes,Success
T00017,C298,P19,PR05,2025-04-24,37068,741.36,Yes,No,Success
T00018,C078,P12,PR05,2025-01-13,33298,665.96,Yes,No,Failed
T00019,C073,P12,PR01,2025-06-09,48351,1450.53,Yes,No,Success
T00020,C225,P15,PR02,2025-06-13,6897,172.43,Yes,Yes,Success
T00021,C332,P04,PR01,2025-12-13,22983,689.49,No,No,Success
T00022,C082,P11,PR05,2025-10-14,36669,733.38,Yes,No,Success
T00023,C328,P14,PR05,2025-07-22,12715,254.3,Yes,No,Success
T00024,C003,P07,PR05,2025-04-16,25982,519.64,Yes,No,Success
T00025,C096,P12,PR05,2025-06-16,35685,713.7,Yes,Yes,Success
T00026,C161,P20,PR04,2025-07-18,42384,1695.36,No,No,Success
T00027,C089,P10,PR06,2025-11-11,40959,1433.57,Yes,No,Success
T00028,C094,P12,PR02,2025-12-22,8164,204.1,Yes,No,Success
T00029,C096,P16,PR05,2025-11-22,28224,564.48,Yes,No,Failed
